date,year_month,fiscal_year,quarter,month_num,month_name_de,month_name_en,country,land_de,product_category,sub_category,order_quantity,unit_cost,unit_price,cost,revenue,profit,gross_margin_pct,revenue_plan,cost_plan,profit_plan,revenue_var_abs,revenue_var_pct
2016-03-31,2016-03,2016,Q1,3,März,March,United States,Vereinigte Staaten,Accessories,Bike Racks,11,45,120,495,1294,799,61.75,1293.0,495.0,798.0,1.0,0.0008
2013-08-28,2013-08,2013,Q3,8,August,August,United States,Vereinigte Staaten,Accessories,Bike Racks,8,45,120,360,941,581,61.74,836.0,328.0,508.0,105.0,0.1256
2015-08-28,2015-08,2015,Q3,8,August,August,United States,Vereinigte Staaten,Accessories,Bike Racks,10,45,120,450,1176,726,61.73,1292.0,485.0,807.0,-116.0,-0.0898
2013-08-27,2013-08,2013,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,2,45,120,90,238,148,62.18,224.0,86.0,138.0,14.0,0.0625
2015-08-27,2015-08,2015,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,1,45,120,45,119,74,62.18,124.0,46.0,78.0,-5.0,-0.0403
2013-11-17,2013-11,2013,Q4,11,November,November,Canada,Kanada,Accessories,Bike Racks,12,45,120,540,1426,886,62.13,1362.0,520.0,842.0,64.0,0.047
2015-11-17,2015-11,2015,Q4,11,November,November,Canada,Kanada,Accessories,Bike Racks,14,45,120,630,1663,1033,62.12,1671.0,632.0,1039.0,-8.0,-0.0048
2013-08-07,2013-08,2013,Q3,8,August,August,Germany,Deutschland,Accessories,Bike Racks,3,45,120,135,295,160,54.24,298.0,136.0,162.0,-3.0,-0.0101
2015-08-07,2015-08,2015,Q3,8,August,August,Germany,Deutschland,Accessories,Bike Racks,1,45,120,45,98,53,54.08,91.0,42.0,49.0,7.0,0.0769
2013-07-15,2013-07,2013,Q3,7,Juli,July,France,Frankreich,Accessories,Bike Racks,8,45,120,360,787,427,54.26,876.0,392.0,484.0,-89.0,-0.1016
2015-07-15,2015-07,2015,Q3,7,Juli,July,France,Frankreich,Accessories,Bike Racks,8,45,120,360,787,427,54.26,839.0,379.0,460.0,-52.0,-0.062
2013-08-17,2013-08,2013,Q3,8,August,August,France,Frankreich,Accessories,Bike Racks,28,45,120,1260,2957,1697,57.39,3269.0,1366.0,1903.0,-312.0,-0.0954
2015-08-17,2015-08,2015,Q3,8,August,August,France,Frankreich,Accessories,Bike Racks,27,45,120,1215,2851,1636,57.38,3121.0,1307.0,1814.0,-270.0,-0.0865
2013-07-17,2013-07,2013,Q3,7,Juli,July,Australia,Australien,Accessories,Bike Racks,9,45,120,405,907,502,55.35,928.0,413.0,515.0,-21.0,-0.0226
2015-07-17,2015-07,2015,Q3,7,Juli,July,Australia,Australien,Accessories,Bike Racks,6,45,120,270,605,335,55.37,666.0,292.0,374.0,-61.0,-0.0916
2013-12-31,2013-12,2013,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,6,45,120,270,706,436,61.76,636.0,249.0,387.0,70.0,0.1101
2015-12-31,2015-12,2015,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,7,45,120,315,823,508,61.73,763.0,297.0,466.0,60.0,0.0786
2013-09-17,2013-09,2013,Q3,9,September,September,United Kingdom,Vereinigtes Königreich,Accessories,Bike Racks,15,45,120,675,1728,1053,60.94,1539.0,616.0,923.0,189.0,0.1228
2015-09-17,2015-09,2015,Q3,9,September,September,United Kingdom,Vereinigtes Königreich,Accessories,Bike Racks,15,45,120,675,1728,1053,60.94,1656.0,652.0,1004.0,72.0,0.0435
2013-09-24,2013-09,2013,Q3,9,September,September,France,Frankreich,Accessories,Bike Racks,6,45,120,270,626,356,56.87,609.0,264.0,345.0,17.0,0.0279
2015-09-24,2015-09,2015,Q3,9,September,September,France,Frankreich,Accessories,Bike Racks,3,45,120,135,313,178,56.87,296.0,129.0,167.0,17.0,0.0574
2013-09-25,2013-09,2013,Q3,9,September,September,Germany,Deutschland,Accessories,Bike Racks,6,45,120,270,590,320,54.24,637.0,287.0,350.0,-47.0,-0.0738
2015-09-25,2015-09,2015,Q3,9,September,September,Germany,Deutschland,Accessories,Bike Racks,8,45,120,360,787,427,54.26,760.0,350.0,410.0,27.0,0.0355
2013-11-26,2013-11,2013,Q4,11,November,November,Canada,Kanada,Accessories,Bike Racks,7,45,120,315,832,517,62.14,788.0,302.0,486.0,44.0,0.0558
2015-11-26,2015-11,2015,Q4,11,November,November,Canada,Kanada,Accessories,Bike Racks,8,45,120,360,950,590,62.11,960.0,363.0,597.0,-10.0,-0.0104
2013-08-03,2013-08,2013,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,1,45,120,45,119,74,62.18,109.0,42.0,67.0,10.0,0.0917
2015-08-03,2015-08,2015,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,1,45,120,45,119,74,62.18,128.0,48.0,80.0,-9.0,-0.0703
2014-06-19,2014-06,2014,Q2,6,Juni,June,Canada,Kanada,Accessories,Bike Racks,10,45,120,450,1188,738,62.12,1067.0,413.0,654.0,121.0,0.1134
2016-06-19,2016-06,2016,Q2,6,Juni,June,Canada,Kanada,Accessories,Bike Racks,12,45,120,540,1426,886,62.13,1593.0,590.0,1003.0,-167.0,-0.1048
2014-03-04,2014-03,2014,Q1,3,März,March,United States,Vereinigte Staaten,Accessories,Bike Racks,4,45,120,180,470,290,61.7,501.0,189.0,312.0,-31.0,-0.0619
2016-03-04,2016-03,2016,Q1,3,März,March,United States,Vereinigte Staaten,Accessories,Bike Racks,3,45,120,135,353,218,61.76,327.0,127.0,200.0,26.0,0.0795
2014-05-30,2014-05,2014,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,2,45,120,90,235,145,61.7,207.0,81.0,126.0,28.0,0.1353
2016-05-30,2016-05,2016,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,2,45,120,90,235,145,61.7,253.0,95.0,158.0,-18.0,-0.0711
2014-06-28,2014-06,2014,Q2,6,Juni,June,United States,Vereinigte Staaten,Accessories,Bike Racks,10,45,120,450,1176,726,61.73,1234.0,468.0,766.0,-58.0,-0.047
2016-06-28,2016-06,2016,Q2,6,Juni,June,United States,Vereinigte Staaten,Accessories,Bike Racks,7,45,120,315,823,508,61.73,868.0,329.0,539.0,-45.0,-0.0518
2014-07-10,2014-07,2014,Q3,7,Juli,July,United States,Vereinigte Staaten,Accessories,Bike Racks,13,45,120,585,1529,944,61.74,1629.0,615.0,1014.0,-100.0,-0.0614
2016-07-10,2016-07,2016,Q3,7,Juli,July,United States,Vereinigte Staaten,Accessories,Bike Racks,12,45,120,540,1411,871,61.73,1267.0,496.0,771.0,144.0,0.1137
2014-03-12,2014-03,2014,Q1,3,März,March,Australia,Australien,Accessories,Bike Racks,7,45,120,315,706,391,55.38,682.0,306.0,376.0,24.0,0.0352
2016-03-12,2016-03,2016,Q1,3,März,March,Australia,Australien,Accessories,Bike Racks,6,45,120,270,605,335,55.37,549.0,250.0,299.0,56.0,0.102
2013-09-03,2013-09,2013,Q3,9,September,September,United States,Vereinigte Staaten,Accessories,Bike Racks,7,45,120,315,655,340,51.91,712.0,337.0,375.0,-57.0,-0.0801
2015-09-03,2015-09,2015,Q3,9,September,September,United States,Vereinigte Staaten,Accessories,Bike Racks,9,45,120,405,842,437,51.9,867.0,415.0,452.0,-25.0,-0.0288
2014-03-26,2014-03,2014,Q1,3,März,March,United States,Vereinigte Staaten,Accessories,Bike Racks,6,45,120,270,706,436,61.76,677.0,261.0,416.0,29.0,0.0428
2016-03-26,2016-03,2016,Q1,3,März,March,United States,Vereinigte Staaten,Accessories,Bike Racks,4,45,120,180,470,290,61.7,421.0,165.0,256.0,49.0,0.1164
2014-05-04,2014-05,2014,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,17,45,120,765,1999,1234,61.73,1908.0,737.0,1171.0,91.0,0.0477
2016-05-04,2016-05,2016,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,16,45,120,720,1882,1162,61.74,1803.0,696.0,1107.0,79.0,0.0438
2014-02-04,2014-02,2014,Q1,2,Februar,February,United States,Vereinigte Staaten,Accessories,Bike Racks,1,45,120,45,94,49,52.13,99.0,47.0,52.0,-5.0,-0.0505
2016-02-04,2016-02,2016,Q1,2,Februar,February,United States,Vereinigte Staaten,Accessories,Bike Racks,3,45,120,135,281,146,51.96,290.0,139.0,151.0,-9.0,-0.031
2013-11-06,2013-11,2013,Q4,11,November,November,United States,Vereinigte Staaten,Accessories,Bike Racks,5,45,120,225,588,363,61.73,643.0,242.0,401.0,-55.0,-0.0855
2015-11-06,2015-11,2015,Q4,11,November,November,United States,Vereinigte Staaten,Accessories,Bike Racks,4,45,120,180,470,290,61.7,467.0,179.0,288.0,3.0,0.0064
2014-02-12,2014-02,2014,Q1,2,Februar,February,United States,Vereinigte Staaten,Accessories,Bike Racks,30,45,120,1350,3528,2178,61.73,3206.0,1251.0,1955.0,322.0,0.1004
2016-02-12,2016-02,2016,Q1,2,Februar,February,United States,Vereinigte Staaten,Accessories,Bike Racks,27,45,120,1215,3175,1960,61.73,3337.0,1265.0,2072.0,-162.0,-0.0485
2014-05-17,2014-05,2014,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,5,45,120,225,588,363,61.73,625.0,236.0,389.0,-37.0,-0.0592
2016-05-17,2016-05,2016,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,2,45,120,90,235,145,61.7,238.0,91.0,147.0,-3.0,-0.0126
2013-09-23,2013-09,2013,Q3,9,September,September,Germany,Deutschland,Accessories,Bike Racks,28,45,120,1260,3125,1865,59.68,3328.0,1326.0,2002.0,-203.0,-0.061
2015-09-23,2015-09,2015,Q3,9,September,September,Germany,Deutschland,Accessories,Bike Racks,29,45,120,1305,3236,1931,59.67,3231.0,1303.0,1928.0,5.0,0.0015
2013-09-20,2013-09,2013,Q3,9,September,September,United States,Vereinigte Staaten,Accessories,Bike Racks,3,45,120,135,281,146,51.96,283.0,136.0,147.0,-2.0,-0.0071
2015-09-20,2015-09,2015,Q3,9,September,September,United States,Vereinigte Staaten,Accessories,Bike Racks,1,45,120,45,94,49,52.13,92.0,44.0,48.0,2.0,0.0217
2013-10-25,2013-10,2013,Q4,10,Oktober,October,United States,Vereinigte Staaten,Accessories,Bike Racks,8,45,120,360,941,581,61.74,834.0,327.0,507.0,107.0,0.1283
2015-10-25,2015-10,2015,Q4,10,Oktober,October,United States,Vereinigte Staaten,Accessories,Bike Racks,9,45,120,405,1058,653,61.72,958.0,375.0,583.0,100.0,0.1044
2014-05-11,2014-05,2014,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,26,45,120,1170,3058,1888,61.74,2714.0,1065.0,1649.0,344.0,0.1268
2016-05-11,2016-05,2016,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,27,45,120,1215,3175,1960,61.73,3279.0,1247.0,2032.0,-104.0,-0.0317
2013-09-29,2013-09,2013,Q3,9,September,September,Canada,Kanada,Accessories,Bike Racks,5,45,120,225,594,369,62.12,568.0,217.0,351.0,26.0,0.0458
2015-09-29,2015-09,2015,Q3,9,September,September,Canada,Kanada,Accessories,Bike Racks,3,45,120,135,356,221,62.08,357.0,135.0,222.0,-1.0,-0.0028
2014-05-16,2014-05,2014,Q2,5,Mai,May,Canada,Kanada,Accessories,Bike Racks,15,45,120,675,1782,1107,62.12,1956.0,728.0,1228.0,-174.0,-0.089
2016-05-16,2016-05,2016,Q2,5,Mai,May,Canada,Kanada,Accessories,Bike Racks,15,45,120,675,1782,1107,62.12,1675.0,643.0,1032.0,107.0,0.0639
2014-05-23,2014-05,2014,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,1,45,120,45,118,73,61.86,115.0,44.0,71.0,3.0,0.0261
2016-05-23,2016-05,2016,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,3,45,120,135,353,218,61.76,375.0,142.0,233.0,-22.0,-0.0587
2013-08-06,2013-08,2013,Q3,8,August,August,United States,Vereinigte Staaten,Accessories,Bike Racks,17,45,120,765,1754,989,56.39,1640.0,725.0,915.0,114.0,0.0695
2015-08-06,2015-08,2015,Q3,8,August,August,United States,Vereinigte Staaten,Accessories,Bike Racks,16,45,120,720,1651,931,56.39,1483.0,662.0,821.0,168.0,0.1133
2013-10-14,2013-10,2013,Q4,10,Oktober,October,United States,Vereinigte Staaten,Accessories,Bike Racks,10,45,120,450,936,486,51.92,889.0,432.0,457.0,47.0,0.0529
2015-10-14,2015-10,2015,Q4,10,Oktober,October,United States,Vereinigte Staaten,Accessories,Bike Racks,10,45,120,450,936,486,51.92,860.0,421.0,439.0,76.0,0.0884
2013-12-06,2013-12,2013,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,10,45,120,450,936,486,51.92,1033.0,487.0,546.0,-97.0,-0.0939
2015-12-06,2015-12,2015,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,9,45,120,405,842,437,51.9,904.0,429.0,475.0,-62.0,-0.0686
2013-12-18,2013-12,2013,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,3,45,120,135,281,146,51.96,290.0,138.0,152.0,-9.0,-0.031
2015-12-18,2015-12,2015,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,2,45,120,90,187,97,51.87,204.0,96.0,108.0,-17.0,-0.0833
2013-09-13,2013-09,2013,Q3,9,September,September,United Kingdom,Vereinigtes Königreich,Accessories,Bike Racks,4,45,120,180,461,281,60.95,495.0,190.0,305.0,-34.0,-0.0687
2015-09-13,2015-09,2015,Q3,9,September,September,United Kingdom,Vereinigtes Königreich,Accessories,Bike Racks,2,45,120,90,230,140,60.87,213.0,85.0,128.0,17.0,0.0798
2013-10-27,2013-10,2013,Q4,10,Oktober,October,Australia,Australien,Accessories,Bike Racks,3,45,120,135,284,149,52.46,311.0,145.0,166.0,-27.0,-0.0868
2015-10-27,2015-10,2015,Q4,10,Oktober,October,Australia,Australien,Accessories,Bike Racks,1,45,120,45,95,50,52.63,96.0,45.0,51.0,-1.0,-0.0104
2014-01-02,2014-01,2014,Q1,1,Januar,January,Australia,Australien,Accessories,Bike Racks,5,45,120,225,522,297,56.9,561.0,238.0,323.0,-39.0,-0.0695
2016-01-02,2016-01,2016,Q1,1,Januar,January,Australia,Australien,Accessories,Bike Racks,3,45,120,135,313,178,56.87,343.0,145.0,198.0,-30.0,-0.0875
2014-05-10,2014-05,2014,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,1,45,120,45,118,73,61.86,113.0,43.0,70.0,5.0,0.0442
2016-05-10,2016-05,2016,Q2,5,Mai,May,United States,Vereinigte Staaten,Accessories,Bike Racks,1,45,120,45,118,73,61.86,107.0,42.0,65.0,11.0,0.1028
2014-04-27,2014-04,2014,Q2,4,April,April,United States,Vereinigte Staaten,Accessories,Bike Racks,2,45,120,90,235,145,61.7,220.0,85.0,135.0,15.0,0.0682
2016-04-27,2016-04,2016,Q2,4,April,April,United States,Vereinigte Staaten,Accessories,Bike Racks,1,45,120,45,118,73,61.86,116.0,44.0,72.0,2.0,0.0172
2013-12-22,2013-12,2013,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,3,45,120,135,281,146,51.96,302.0,143.0,159.0,-21.0,-0.0695
2015-12-22,2015-12,2015,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,5,45,120,225,468,243,51.92,509.0,241.0,268.0,-41.0,-0.0806
2013-11-28,2013-11,2013,Q4,11,November,November,United States,Vereinigte Staaten,Accessories,Bike Racks,12,45,120,540,1238,698,56.38,1092.0,489.0,603.0,146.0,0.1337
2015-11-28,2015-11,2015,Q4,11,November,November,United States,Vereinigte Staaten,Accessories,Bike Racks,12,45,120,540,1238,698,56.38,1241.0,541.0,700.0,-3.0,-0.0024
2014-07-28,2014-07,2014,Q3,7,Juli,July,France,Frankreich,Accessories,Bike Racks,4,45,120,180,418,238,56.94,410.0,177.0,233.0,8.0,0.0195
2016-07-28,2016-07,2016,Q3,7,Juli,July,France,Frankreich,Accessories,Bike Racks,3,45,120,135,313,178,56.87,292.0,128.0,164.0,21.0,0.0719
2014-04-13,2014-04,2014,Q2,4,April,April,Australia,Australien,Accessories,Bike Racks,5,45,120,225,504,279,55.36,458.0,209.0,249.0,46.0,0.1004
2016-04-13,2016-04,2016,Q2,4,April,April,Australia,Australien,Accessories,Bike Racks,7,45,120,315,706,391,55.38,678.0,305.0,373.0,28.0,0.0413
2014-02-19,2014-02,2014,Q1,2,Februar,February,Germany,Deutschland,Accessories,Bike Racks,2,45,120,90,197,107,54.31,218.0,98.0,120.0,-21.0,-0.0963
2016-02-19,2016-02,2016,Q1,2,Februar,February,Germany,Deutschland,Accessories,Bike Racks,3,45,120,135,295,160,54.24,282.0,130.0,152.0,13.0,0.0461
2013-12-09,2013-12,2013,Q4,12,Dezember,December,Germany,Deutschland,Accessories,Bike Racks,2,45,120,90,209,119,56.94,210.0,90.0,120.0,-1.0,-0.0048
2015-12-09,2015-12,2015,Q4,12,Dezember,December,Germany,Deutschland,Accessories,Bike Racks,3,45,120,135,313,178,56.87,328.0,140.0,188.0,-15.0,-0.0457
2014-05-17,2014-05,2014,Q2,5,Mai,May,Germany,Deutschland,Accessories,Bike Racks,3,45,120,135,335,200,59.7,324.0,131.0,193.0,11.0,0.034
2016-05-17,2016-05,2016,Q2,5,Mai,May,Germany,Deutschland,Accessories,Bike Racks,2,45,120,90,223,133,59.64,248.0,98.0,150.0,-25.0,-0.1008
2014-06-06,2014-06,2014,Q2,6,Juni,June,France,Frankreich,Accessories,Bike Racks,5,45,120,225,534,309,57.87,593.0,245.0,348.0,-59.0,-0.0995
2016-06-06,2016-06,2016,Q2,6,Juni,June,France,Frankreich,Accessories,Bike Racks,7,45,120,315,748,433,57.89,703.0,300.0,403.0,45.0,0.064
2013-08-18,2013-08,2013,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,2,45,120,90,238,148,62.18,238.0,90.0,148.0,0.0,0.0
2015-08-18,2015-08,2015,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,3,45,120,135,356,221,62.08,339.0,130.0,209.0,17.0,0.0501
2013-09-20,2013-09,2013,Q3,9,September,September,United States,Vereinigte Staaten,Accessories,Bike Racks,10,45,120,450,936,486,51.92,888.0,431.0,457.0,48.0,0.0541
2015-09-20,2015-09,2015,Q3,9,September,September,United States,Vereinigte Staaten,Accessories,Bike Racks,9,45,120,405,842,437,51.9,748.0,369.0,379.0,94.0,0.1257
2013-12-29,2013-12,2013,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,5,45,120,225,468,243,51.92,480.0,230.0,250.0,-12.0,-0.025
2015-12-29,2015-12,2015,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,2,45,120,90,187,97,51.87,187.0,90.0,97.0,0.0,0.0
2014-03-30,2014-03,2014,Q1,3,März,March,Australia,Australien,Accessories,Bike Racks,8,45,120,360,806,446,55.33,719.0,329.0,390.0,87.0,0.121
2016-03-30,2016-03,2016,Q1,3,März,March,Australia,Australien,Accessories,Bike Racks,8,45,120,360,806,446,55.33,763.0,345.0,418.0,43.0,0.0564
2013-11-09,2013-11,2013,Q4,11,November,November,United States,Vereinigte Staaten,Accessories,Bike Racks,7,45,120,315,722,407,56.37,793.0,340.0,453.0,-71.0,-0.0895
2015-11-09,2015-11,2015,Q4,11,November,November,United States,Vereinigte Staaten,Accessories,Bike Racks,8,45,120,360,826,466,56.42,774.0,342.0,432.0,52.0,0.0672
2013-12-31,2013-12,2013,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,5,45,120,225,516,291,56.4,472.0,210.0,262.0,44.0,0.0932
2015-12-31,2015-12,2015,Q4,12,Dezember,December,United States,Vereinigte Staaten,Accessories,Bike Racks,7,45,120,315,722,407,56.37,720.0,314.0,406.0,2.0,0.0028
2013-08-30,2013-08,2013,Q3,8,August,August,United States,Vereinigte Staaten,Accessories,Bike Racks,7,45,120,315,823,508,61.73,919.0,344.0,575.0,-96.0,-0.1045
