fiscal_year,quarter,year_month,Umsatz_Ist,Kosten_Ist,Ergebnis_Ist,Umsatz_Plan,Kosten_Plan,Ergebnis_Plan,Bestellmenge,Bruttomarge_Ist_pct,Bruttomarge_Plan_pct,Umsatz_Abw_abs,Umsatz_Abw_pct,Ergebnis_Abw_abs,Ergebnis_Abw_pct,RAG_Umsatz,RAG_Ergebnis,year_month_str,ARAP_Aktiv,PRAP_Passiv,Ergebnis_bereinigt,Kommentar_DE,Kommentar_EN
2012,Q3,2012-07,863284,585090,278194,865362.0,586361.0,279001.0,506,32.23,32.24,-2078.0,-0.24,-807.0,-0.29,🟡 Amber,🟡 Amber,2012-07,43164.0,17553.0,252583.0,2012-07: Umsatz plankonform (Abw. -0.2%). Kein Handlungsbedarf.,2012-07: Revenue within plan (var. -0.2%). No action required.
2012,Q3,2012-08,927504,626896,300608,933587.0,630084.0,303503.0,562,32.41,32.51,-6083.0,-0.65,-2895.0,-0.95,🟡 Amber,🟡 Amber,2012-08,46375.0,18807.0,273040.0,2012-08: Umsatz plankonform (Abw. -0.7%). Kein Handlungsbedarf.,2012-08: Revenue within plan (var. -0.7%). No action required.
2012,Q3,2012-09,701963,481218,220745,704515.0,482459.0,222056.0,396,31.45,31.52,-2552.0,-0.36,-1311.0,-0.59,🟡 Amber,🟡 Amber,2012-09,35098.0,14437.0,200084.0,2012-09: Umsatz plankonform (Abw. -0.4%). Kein Handlungsbedarf.,2012-09: Revenue within plan (var. -0.4%). No action required.
2012,Q4,2012-10,727918,491730,236188,719961.0,487319.0,232642.0,458,32.45,32.31,7957.0,1.11,3546.0,1.52,🟡 Amber,🟡 Amber,2012-10,36396.0,14752.0,214544.0,2012-10: Umsatz plankonform (Abw. +1.1%). Kein Handlungsbedarf.,2012-10: Revenue within plan (var. +1.1%). No action required.
2012,Q4,2012-11,601501,409730,191771,596996.0,407328.0,189668.0,386,31.88,31.77,4505.0,0.75,2103.0,1.11,🟡 Amber,🟡 Amber,2012-11,30075.0,12292.0,173988.0,2012-11: Umsatz plankonform (Abw. +0.8%). Kein Handlungsbedarf.,2012-11: Revenue within plan (var. +0.8%). No action required.
2012,Q4,2012-12,1110101,749146,360955,1111152.0,750135.0,361017.0,660,32.52,32.49,-1051.0,-0.09,-62.0,-0.02,🟡 Amber,🟡 Amber,2012-12,55505.0,22474.0,327924.0,2012-12: Umsatz plankonform (Abw. -0.1%). Kein Handlungsbedarf.,2012-12: Revenue within plan (var. -0.1%). No action required.
2013,Q1,2013-01,435063,291785,143278,431660.0,289908.0,141752.0,244,32.93,32.84,3403.0,0.79,1526.0,1.08,🟡 Amber,🟡 Amber,2013-01,21753.0,8754.0,130279.0,2013-01: Umsatz plankonform (Abw. +0.8%). Kein Handlungsbedarf.,2013-01: Revenue within plan (var. +0.8%). No action required.
2013,Q1,2013-02,485405,325466,159939,487650.0,326627.0,161023.0,272,32.95,33.02,-2245.0,-0.46,-1084.0,-0.67,🟡 Amber,🟡 Amber,2013-02,24270.0,9764.0,145433.0,2013-02: Umsatz plankonform (Abw. -0.5%). Kein Handlungsbedarf.,2013-02: Revenue within plan (var. -0.5%). No action required.
2013,Q1,2013-03,466940,312233,154707,468543.0,313225.0,155318.0,272,33.13,33.15,-1603.0,-0.34,-611.0,-0.39,🟡 Amber,🟡 Amber,2013-03,23347.0,9367.0,140727.0,2013-03: Umsatz plankonform (Abw. -0.3%). Kein Handlungsbedarf.,2013-03: Revenue within plan (var. -0.3%). No action required.
2013,Q2,2013-04,476905,323102,153803,476338.0,322721.0,153617.0,294,32.25,32.25,567.0,0.12,186.0,0.12,🟡 Amber,🟡 Amber,2013-04,23845.0,9693.0,139651.0,2013-04: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2013-04: Revenue within plan (var. +0.1%). No action required.
2013,Q2,2013-05,589689,393330,196359,586960.0,391831.0,195129.0,335,33.3,33.24,2729.0,0.46,1230.0,0.63,🟡 Amber,🟡 Amber,2013-05,29484.0,11800.0,178675.0,2013-05: Umsatz plankonform (Abw. +0.5%). Kein Handlungsbedarf.,2013-05: Revenue within plan (var. +0.5%). No action required.
2013,Q2,2013-06,534099,359020,175079,531930.0,357962.0,173968.0,321,32.78,32.71,2169.0,0.41,1111.0,0.64,🟡 Amber,🟡 Amber,2013-06,26705.0,10771.0,159145.0,2013-06: Umsatz plankonform (Abw. +0.4%). Kein Handlungsbedarf.,2013-06: Revenue within plan (var. +0.4%). No action required.
2013,Q3,2013-07,1230711,785772,444939,1230102.0,785545.0,444557.0,14177,36.15,36.14,609.0,0.05,382.0,0.09,🟡 Amber,🟡 Amber,2013-07,61536.0,23573.0,406976.0,2013-07: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2013-07: Revenue within plan (var. +0.1%). No action required.
2013,Q3,2013-08,1763071,1011841,751230,1769463.0,1015108.0,754355.0,51614,42.61,42.63,-6392.0,-0.36,-3125.0,-0.41,🟡 Amber,🟡 Amber,2013-08,88154.0,30355.0,693431.0,2013-08: Umsatz plankonform (Abw. -0.4%). Kein Handlungsbedarf.,2013-08: Revenue within plan (var. -0.4%). No action required.
2013,Q3,2013-09,1988996,1160027,828969,1993254.0,1161922.0,831332.0,51755,41.68,41.71,-4258.0,-0.21,-2363.0,-0.28,🟡 Amber,🟡 Amber,2013-09,99450.0,34801.0,764320.0,2013-09: Umsatz plankonform (Abw. -0.2%). Kein Handlungsbedarf.,2013-09: Revenue within plan (var. -0.2%). No action required.
2013,Q4,2013-10,2041128,1199130,841998,2039750.0,1199231.0,840519.0,54358,41.25,41.21,1378.0,0.07,1479.0,0.18,🟡 Amber,🟡 Amber,2013-10,102056.0,35974.0,775916.0,2013-10: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2013-10: Revenue within plan (var. +0.1%). No action required.
2013,Q4,2013-11,2232077,1323193,908884,2234886.0,1324642.0,910244.0,54482,40.72,40.73,-2809.0,-0.13,-1360.0,-0.15,🟡 Amber,🟡 Amber,2013-11,111604.0,39696.0,836976.0,2013-11: Umsatz plankonform (Abw. -0.1%). Kein Handlungsbedarf.,2013-11: Revenue within plan (var. -0.1%). No action required.
2013,Q4,2013-12,2995953,1795930,1200023,2998763.0,1797655.0,1201108.0,66663,40.05,40.05,-2810.0,-0.09,-1085.0,-0.09,🟡 Amber,🟡 Amber,2013-12,149798.0,53878.0,1104103.0,2013-12: Umsatz plankonform (Abw. -0.1%). Kein Handlungsbedarf.,2013-12: Revenue within plan (var. -0.1%). No action required.
2014,Q1,2014-01,2003941,1179095,824846,2010388.0,1182289.0,828099.0,55079,41.16,41.19,-6447.0,-0.32,-3253.0,-0.39,🟡 Amber,🟡 Amber,2014-01,100197.0,35373.0,760022.0,2014-01: Umsatz plankonform (Abw. -0.3%). Kein Handlungsbedarf.,2014-01: Revenue within plan (var. -0.3%). No action required.
2014,Q1,2014-02,1945487,1144566,800921,1947952.0,1146010.0,801942.0,52294,41.17,41.17,-2465.0,-0.13,-1021.0,-0.13,🟡 Amber,🟡 Amber,2014-02,97274.0,34337.0,737984.0,2014-02: Umsatz plankonform (Abw. -0.1%). Kein Handlungsbedarf.,2014-02: Revenue within plan (var. -0.1%). No action required.
2014,Q1,2014-03,2108212,1235159,873053,2108025.0,1235171.0,872854.0,55412,41.41,41.41,187.0,0.01,199.0,0.02,🟡 Amber,🟡 Amber,2014-03,105411.0,37055.0,804697.0,2014-03: Umsatz plankonform (Abw. +0.0%). Kein Handlungsbedarf.,2014-03: Revenue within plan (var. +0.0%). No action required.
2014,Q2,2014-04,2204586,1288915,915671,2201917.0,1288134.0,913783.0,59110,41.53,41.5,2669.0,0.12,1888.0,0.21,🟡 Amber,🟡 Amber,2014-04,110229.0,38667.0,844109.0,2014-04: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2014-04: Revenue within plan (var. +0.1%). No action required.
2014,Q2,2014-05,2587491,1521317,1066174,2592003.0,1523633.0,1068370.0,62661,41.2,41.22,-4512.0,-0.17,-2196.0,-0.21,🟡 Amber,🟡 Amber,2014-05,129375.0,45640.0,982439.0,2014-05: Umsatz plankonform (Abw. -0.2%). Kein Handlungsbedarf.,2014-05: Revenue within plan (var. -0.2%). No action required.
2014,Q2,2014-06,2786120,1666196,1119924,2783405.0,1665587.0,1117818.0,64254,40.2,40.16,2715.0,0.1,2106.0,0.19,🟡 Amber,🟡 Amber,2014-06,139306.0,49986.0,1030604.0,2014-06: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2014-06: Revenue within plan (var. +0.1%). No action required.
2014,Q3,2014-07,516887,253389,263498,517078.0,253527.0,263551.0,30775,50.98,50.97,-191.0,-0.04,-53.0,-0.02,🟡 Amber,🟡 Amber,2014-07,25844.0,7602.0,245256.0,2014-07: Umsatz plankonform (Abw. -0.0%). Kein Handlungsbedarf.,2014-07: Revenue within plan (var. -0.0%). No action required.
2015,Q1,2015-01,666938,447744,219194,665780.0,447015.0,218765.0,373,32.87,32.86,1158.0,0.17,429.0,0.2,🟡 Amber,🟡 Amber,2015-01,33347.0,13432.0,199279.0,2015-01: Umsatz plankonform (Abw. +0.2%). Kein Handlungsbedarf.,2015-01: Revenue within plan (var. +0.2%). No action required.
2015,Q1,2015-02,679246,458635,220611,672878.0,455091.0,217787.0,393,32.48,32.37,6368.0,0.95,2824.0,1.3,🟡 Amber,🟡 Amber,2015-02,33962.0,13759.0,200408.0,2015-02: Umsatz plankonform (Abw. +0.9%). Kein Handlungsbedarf.,2015-02: Revenue within plan (var. +0.9%). No action required.
2015,Q1,2015-03,714008,477922,236086,712079.0,476263.0,235816.0,415,33.06,33.12,1929.0,0.27,270.0,0.11,🟡 Amber,🟡 Amber,2015-03,35700.0,14338.0,214724.0,2015-03: Umsatz plankonform (Abw. +0.3%). Kein Handlungsbedarf.,2015-03: Revenue within plan (var. +0.3%). No action required.
2015,Q2,2015-04,734608,497020,237588,728736.0,493530.0,235206.0,457,32.34,32.28,5872.0,0.81,2382.0,1.01,🟡 Amber,🟡 Amber,2015-04,36730.0,14911.0,215769.0,2015-04: Umsatz plankonform (Abw. +0.8%). Kein Handlungsbedarf.,2015-04: Revenue within plan (var. +0.8%). No action required.
2015,Q2,2015-05,895043,597749,297294,901206.0,600821.0,300385.0,503,33.22,33.33,-6163.0,-0.68,-3091.0,-1.03,🟡 Amber,🟡 Amber,2015-05,44752.0,17932.0,270474.0,2015-05: Umsatz plankonform (Abw. -0.7%). Kein Handlungsbedarf.,2015-05: Revenue within plan (var. -0.7%). No action required.
2015,Q2,2015-06,786480,527616,258864,786483.0,527674.0,258809.0,467,32.91,32.91,-3.0,-0.0,55.0,0.02,🟡 Amber,🟡 Amber,2015-06,39324.0,15828.0,235368.0,2015-06: Umsatz plankonform (Abw. -0.0%). Kein Handlungsbedarf.,2015-06: Revenue within plan (var. -0.0%). No action required.
2015,Q3,2015-07,1728398,1118446,609952,1721640.0,1114769.0,606871.0,14067,35.29,35.25,6758.0,0.39,3081.0,0.51,🟡 Amber,🟡 Amber,2015-07,86420.0,33553.0,557085.0,2015-07: Umsatz plankonform (Abw. +0.4%). Kein Handlungsbedarf.,2015-07: Revenue within plan (var. +0.4%). No action required.
2015,Q3,2015-08,2140581,1264046,876535,2139961.0,1263315.0,876646.0,50403,40.95,40.97,620.0,0.03,-111.0,-0.01,🟡 Amber,🟡 Amber,2015-08,107029.0,37921.0,807427.0,2015-08: Umsatz plankonform (Abw. +0.0%). Kein Handlungsbedarf.,2015-08: Revenue within plan (var. +0.0%). No action required.
2015,Q3,2015-09,2465172,1478781,986391,2459901.0,1475707.0,984194.0,50632,40.01,40.01,5271.0,0.21,2197.0,0.22,🟡 Amber,🟡 Amber,2015-09,123259.0,44363.0,907495.0,2015-09: Umsatz plankonform (Abw. +0.2%). Kein Handlungsbedarf.,2015-09: Revenue within plan (var. +0.2%). No action required.
2015,Q4,2015-10,2529084,1528465,1000619,2538826.0,1533403.0,1005423.0,53080,39.56,39.6,-9742.0,-0.38,-4804.0,-0.48,🟡 Amber,🟡 Amber,2015-10,126454.0,45854.0,920019.0,2015-10: Umsatz plankonform (Abw. -0.4%). Kein Handlungsbedarf.,2015-10: Revenue within plan (var. -0.4%). No action required.
2015,Q4,2015-11,2836222,1730335,1105887,2835230.0,1730181.0,1105049.0,53402,38.99,38.98,992.0,0.03,838.0,0.08,🟡 Amber,🟡 Amber,2015-11,141811.0,51910.0,1015986.0,2015-11: Umsatz plankonform (Abw. +0.0%). Kein Handlungsbedarf.,2015-11: Revenue within plan (var. +0.0%). No action required.
2015,Q4,2015-12,3848211,2368669,1479542,3849604.0,2369109.0,1480495.0,65325,38.45,38.46,-1393.0,-0.04,-953.0,-0.06,🟡 Amber,🟡 Amber,2015-12,192411.0,71060.0,1358191.0,2015-12: Umsatz plankonform (Abw. -0.0%). Kein Handlungsbedarf.,2015-12: Revenue within plan (var. -0.0%). No action required.
2016,Q1,2016-01,2553065,1545992,1007073,2557448.0,1547805.0,1009643.0,53933,39.45,39.48,-4383.0,-0.17,-2570.0,-0.25,🟡 Amber,🟡 Amber,2016-01,127653.0,46380.0,925800.0,2016-01: Umsatz plankonform (Abw. -0.2%). Kein Handlungsbedarf.,2016-01: Revenue within plan (var. -0.2%). No action required.
2016,Q1,2016-02,2444190,1479596,964594,2451400.0,1482815.0,968585.0,51069,39.46,39.51,-7210.0,-0.29,-3991.0,-0.41,🟡 Amber,🟡 Amber,2016-02,122210.0,44388.0,886772.0,2016-02: Umsatz plankonform (Abw. -0.3%). Kein Handlungsbedarf.,2016-02: Revenue within plan (var. -0.3%). No action required.
2016,Q1,2016-03,2608663,1572131,1036532,2605838.0,1571454.0,1034384.0,54191,39.73,39.69,2825.0,0.11,2148.0,0.21,🟡 Amber,🟡 Amber,2016-03,130433.0,47164.0,953263.0,2016-03: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2016-03: Revenue within plan (var. +0.1%). No action required.
2016,Q2,2016-04,2756864,1659571,1097293,2754521.0,1657862.0,1096659.0,57789,39.8,39.81,2343.0,0.09,634.0,0.06,🟡 Amber,🟡 Amber,2016-04,137843.0,49787.0,1009237.0,2016-04: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2016-04: Revenue within plan (var. +0.1%). No action required.
2016,Q2,2016-05,3264343,1977178,1287165,3260883.0,1974615.0,1286268.0,61370,39.43,39.45,3460.0,0.11,897.0,0.07,🟡 Amber,🟡 Amber,2016-05,163217.0,59315.0,1183263.0,2016-05: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2016-05: Revenue within plan (var. +0.1%). No action required.
2016,Q2,2016-06,3586300,2197648,1388652,3593096.0,2200738.0,1392358.0,62704,38.72,38.75,-6796.0,-0.19,-3706.0,-0.27,🟡 Amber,🟡 Amber,2016-06,179315.0,65929.0,1275266.0,2016-06: Umsatz plankonform (Abw. -0.2%). Kein Handlungsbedarf.,2016-06: Revenue within plan (var. -0.2%). No action required.
2016,Q3,2016-07,499960,245321,254639,501128.0,245620.0,255508.0,29757,50.93,50.99,-1168.0,-0.23,-869.0,-0.34,🟡 Amber,🟡 Amber,2016-07,24998.0,7360.0,237001.0,2016-07: Umsatz plankonform (Abw. -0.2%). Kein Handlungsbedarf.,2016-07: Revenue within plan (var. -0.2%). No action required.
